file,line,decl,denominator,statement
NavierStokes/LoopVariance.lean,618,NavierStokes.LoopVariance.solveScale_mul,d,solveScale d p r * p = inverseRoot (p * (r / d))
NavierStokes/MatchingConeBounds.lean,645,NavierStokes.MatchingConeBounds.profiles_shape_radialF,X,"radialPartial (c.profiles hsep).f (X, eta) = (c.profiles hsep).f (X, eta) * (ShapeTransition.logarithmicSlope c.shapeTime c.initialShape (Real.log (X / NominalP"
NavierStokes/ModulatedCone.lean,91,NavierStokes.ModulatedCone.signed_shear_factor,n,-((-C + D / n) / Real.exp (A / n)) - C = (1 / n) * (-C * A * StressActivation.meanExp (-(1 / n) * A) - D * Real.exp (-(1 / n) * A))
NavierStokes/ModulatedHistories.lean,143,NavierStokes.ModulatedHistories.densityFamily_frequency,N,"densityFamily r f E U (1 / N, X, eta, N * Real.log X) = density (rawF r f N) (rawU r E U N) (X, eta)"
NavierStokes/NaturalProfile.lean,265,NavierStokes.NaturalProfile.transportW_reconstruct,Λ,transportW h (affineProfile (NaturalAxisData.U j) (1 / Λ) Λ B) p = reconstructedW (actualData h j σ P0) (1 / Λ) B (rescalePoint Λ p)
NavierStokes/NaturalProfile.lean,276,NavierStokes.NaturalProfile.transportH_reconstruct,Λ,transportH h (affineProfile (NaturalAxisData.U j) (1 / Λ) Λ u) p = reconstructedH (actualData h j σ P0) (1 / Λ) u (rescalePoint Λ p)
NavierStokes/NominalConeAssembly.lean,517,NavierStokes.NominalConeAssembly.scaled_difference_quotient,x,a * (R * u - eta * (R * v)) / (R * x) = a * (u - eta * v) / x
NavierStokes/NominalConeAssembly.lean,522,NavierStokes.NominalConeAssembly.scaled_affine_quotient,x,(a * (R * u) - b * (R * v)) / (R * x) = (a * u - b * v) / x
NavierStokes/NominalConeAssembly.lean,762,NavierStokes.NominalConeAssembly.stock_ratio_identity,L,x * n / (L * e) = (x * q / L) * (n / (e * q))
NavierStokes/NominalProfile.lean,1679,NavierStokes.NominalProfile.halfKernel_eq,x,"halfKernel E eta x = (E (x, eta) ^ 2 / x) / 2"
NavierStokes/OutgoingDilation.lean,94,NavierStokes.OutgoingDilation.energyDensity_scaling,XR,energyDensity F XR eta X = F.energyDensity eta (X / XR)
NavierStokes/PartitionedCovariance.lean,161,NavierStokes.PartitionedCovariance.cosine_actual_phase,ε,"Real.cos (k * PhaseCalculus.phase ε p pz x0 F G (s, θ, v Y)) = Real.cos ((mode : ℝ) * θ + k * ((pz / ε) * s.2.1 + x0 * s.1 - v Y * (p * F s + pz * G s)))"
NavierStokes/PeriodicPhaseAssembly.lean,507,NavierStokes.PeriodicPhaseAssembly.transportPhase_eq_refined,K,transportPhase (phase g χ A B) φ gap K Kr = phase (CopySolveCompatibility.refineGeometry g gap) χ (fun p => (Kr / K) * A (φ p)) (fun p => (Kr / K) * B (φ p))
NavierStokes/PeriodicPhaseAssembly.lean,519,NavierStokes.PeriodicPhaseAssembly.transportPhase_eq_scaled_clock,K,transportPhase (phase g χ A B) φ gap K Kr = phase (CopySolveCompatibility.transportGeometry g gap 0 rate hrate) (χ ∘ CopySolveCompatibility.nativeTimeMap 0 rate
NavierStokes/PeriodicPhaseAssembly.lean,534,NavierStokes.PeriodicPhaseAssembly.transportPhase_native_germ,K,transportPhase (phase g w.cutoff A B) φ gap K Kr =ᶠ[𝓝 z] nativePhase (CopySolveCompatibility.transportGeometry g gap shift rate hrate) (fun p => (Kr / K) * (A (
NavierStokes/PeriodicPhaseAssembly.lean,566,NavierStokes.PeriodicPhaseAssembly.transportPhase_native_jets,K,iteratedFDeriv ℝ m (transportPhase (phase g w.cutoff A B) φ gap K Kr) z = iteratedFDeriv ℝ m (nativePhase (CopySolveCompatibility.transportGeometry g gap shift 
NavierStokes/PeriodicPhaseAssembly.lean,733,NavierStokes.PeriodicPhaseAssembly.transportPhase_path,K,"transportPhase (phase g w.cutoff A B) φ gap K Kr (p, (CopySolveCompatibility.transportGeometry g gap shift rate hrate).path copy Y t) = (Kr / K) * (A (φ p) - (s"
NavierStokes/PeriodicPhaseAssembly.lean,805,NavierStokes.PeriodicPhaseAssembly.actualCarrier_phase_germ,b,(ParticularWaveAssembly.actualCarrier base b j).phase n =ᶠ[𝓝 x] angularLift Φ ((b.angularFrequency n : ℝ) / b.frequency n)
NavierStokes/PeriodizedWaveBounds.lean,1628,NavierStokes.PeriodizedWaveBounds.particularData_phase,b,"(particularData r charts c u b G A j base).background.phase n z = b.phase n (z.1.1, z.2) + (b.angularFrequency n : ℝ) / b.frequency n * z.1.2"
NavierStokes/PhaseCalculus.lean,49,NavierStokes.PhaseCalculus.fderiv_phase_apply,ε,fderiv ℝ (phase ε p pz x0 F G) q w = p * w.2.1 + (pz / ε) * w.1.2.1 + x0 * w.1.1 - (w.2.2 * (p * F q.1 + pz * G q.1) + q.2.2 * (p * fderiv ℝ F q.1 w.1 + pz * fd
NavierStokes/PhaseCalculus.lean,83,NavierStokes.PhaseCalculus.phase_dZ,ε,fderiv ℝ (phase ε p pz x0 F G) q eZ = pz / ε - q.2.2 * (p * slowZ F q.1 + pz * slowZ G q.1)
NavierStokes/PhaseEstimates.lean,72,NavierStokes.PhaseEstimates.representative_slope,L,"⟪representativeFrequency B sigma u L K g, g⟫_ℝ = -sigma * B * u / L"
NavierStokes/PhaseEstimates.lean,114,NavierStokes.PhaseEstimates.radial_reference_identity,L,sigma * B * u / 2 - v * (-sigma * B * u / L) = B * signedSlot sigma u L v
NavierStokes/PhaseEstimates.lean,277,NavierStokes.PhaseEstimates.representative_slope_coordinates,L,target * FR0 + pz * GR0 = -sigma * B * u / L
NavierStokes/PhysicalGraphBounds.lean,1074,NavierStokes.PhysicalGraphBounds.slotMap_formula,ci,"slotMap κ ci center r0 y = (((κ (liftXY y)).1, (y.1.2.2.2, y.1.1)), ((κ (liftXY y)).2, (etaCoordinate (y.2 - center) + r0) / ci))"
NavierStokes/PositiveOrderMoments.lean,58,NavierStokes.PositiveOrderMoments.cauchy_phiHistory,R,cauchy n (phiHistory C e) (phiHistory C e) R = (C / R) ^ 2 * cauchy n e e R
NavierStokes/PrimaryFieldAssembly.lean,350,NavierStokes.PrimaryFieldAssembly.actual_phase_identification,ε,"k * PhaseCalculus.phase ε p pz x0 F G (s, θ, v Y) = (m : ℝ) * θ + k * ((pz / ε) * s.2.1 + x0 * s.1 - v Y * (p * F s + pz * G s))"
NavierStokes/ProfileSpectralCone.lean,92,NavierStokes.ProfileSpectralCone.cancel_signed_scale,d,q * (k * j) / (-k * d) = -(q * j / d)
NavierStokes/ProfileSpectralCone.lean,276,NavierStokes.ProfileSpectralCone.leadingFrequency_germ,C,BaseChartJets.leadingFrequency h C d =ᶠ[𝓝 p] (fun q => (BaseChartJets.normalizedCoordinates h q).1 ^ (-CoordinateAlgebra.A h - 1 / 2) / C * d.phi 0 (BaseChartJe
NavierStokes/ProfileSpectralCone.lean,305,NavierStokes.ProfileSpectralCone.leadingFrequency_slowR,C,PhaseCalculus.slowR (BaseChartJets.leadingFrequency h C d) p = (BaseChartJets.normalizedCoordinates h p).1 ^ (-CoordinateAlgebra.A h - 1 / 2) / C * (p.1 / (Base
NavierStokes/PulseCovariance.lean,48,NavierStokes.PulseCovariance.gaussian_eq_length,r,gaussian b m r v = Real.exp (-b * (v - m) ^ 2 / r ^ 2)
NavierStokes/PulseCovariance.lean,74,NavierStokes.PulseCovariance.integral_gaussian_scaled,b,"(∫ v : ℝ, gaussian b m r v) = r * Real.sqrt (Real.pi / b)"
NavierStokes/PulseCovariance.lean,532,NavierStokes.PulseCovariance.affineSlope_distance,r,|affineSlope s₀ slope r v - s₀| = |slope| * |v - r ^ 2 / 2| / r ^ 2
NavierStokes/RadialPullback.lean,96,NavierStokes.RadialPullback.inverseChart_eq,d,inverseChart d a U = U ^ d⁻¹
NavierStokes/RenormalizedHeatMoment.lean,732,NavierStokes.RenormalizedHeatMoment.heated_exterior,X,"HeatedOutgoing.E P XR c (X, eta) = outgoingPowerAmplitude P XR * X ^ (-A P.data.h) * RadialHeatProfile.profile (1 + P.data.h) (2 * (1 - eta ^ 2) / X)"
NavierStokes/SignedRequestContinuation.lean,489,NavierStokes.SignedRequestContinuation.physicalBarSigma_integral,r,"SignedStressPrimitive.physicalBarSigma P e q f (r, s) = -(∫ t in (0 : ℝ)..r, t ^ e * SignedStressPrimitive.physicalAdjusted P e q (PressureStream.torusAverage f"
NavierStokes/SlowBorelBase.lean,1349,NavierStokes.SlowBorelBase.partialS_swirlPotential,C,AxisymmetricFields.partialS (swirlPotential a h C d) p = -C⁻¹ * physicalProfile a h (-CoordinateAlgebra.A h - 1 / 2) d.phi p
NavierStokes/SlowBorelBase.lean,1564,NavierStokes.SlowBorelBase.baseVelocity_angularMoment,C,"-x 1 * baseVelocity a h C d (t, x) 0 + x 0 * baseVelocity a h C d (t, x) 1 = (2 * AxisymmetricFields.radialEnergy x) * C⁻¹ * physicalProfile a h (-CoordinateAlg"
NavierStokes/SlowExpansionResidual.lean,649,NavierStokes.SlowExpansionResidual.pressure_series_identity,C,finiteSeries N q h (-1) omega + tail + 2 * (q * X) * (finiteSeries N q h (pressureExponent h - 1) px - (C⁻¹ * finiteSeries N q h (angularExponent h) phi) ^ 2) =
NavierStokes/SlowExpansionResidual.lean,829,NavierStokes.SlowExpansionResidual.pressureCoefficient_eq_zero_iff,C,pressureCoefficient h C f n w = 0 ↔ partialX (f.pressure n) w = C⁻¹ ^ 2 * convolution (fun i j => f.phi i w * f.phi j w) n - previous (fun j => omegaCoefficient
NavierStokes/SlowFirstOrderEdge.lean,40,NavierStokes.SlowFirstOrderEdge.taperSecond_factorization,x,deriv (tailShapeDeriv d) (3 - x) = (FlatCutoff.edge 4 x / x ^ 6) * taperSecondFactor d x
NavierStokes/SlowResidualMatching.lean,445,NavierStokes.SlowResidualMatching.thetaStress_identity,C,Real.sqrt (2 * w.1) * partialX (thetaStress h C f n) w + 2 * thetaStress h C f n w / Real.sqrt (2 * w.1) = -(Real.sqrt (2 * w.1) / C * angularCoefficient h f n 
NavierStokes/SlowResidualMatching.lean,508,NavierStokes.SlowResidualMatching.physicalThetaStress_divergence,C,LeadingStress.radialDivergence 2 (physicalThetaStress N h C f) p = -(Real.sqrt (2 * p.2.1) * C⁻¹ * finiteSeries N (SimilarityProfile.q h p) h (angularExponent h
NavierStokes/SlowResidualMatching.lean,671,NavierStokes.SlowResidualMatching.partialX_swirlRadius,C,partialX (swirlRadius C f) w = f (radiusPoint w) / C + w.1 ^ 2 / C * partialX f (radiusPoint w)
NavierStokes/SlowResidualMatching.lean,685,NavierStokes.SlowResidualMatching.partialEta_swirlRadius,C,partialEta (swirlRadius C f) w = w.1 / C * partialEta f (radiusPoint w)
NavierStokes/SlowResidualMatching.lean,737,NavierStokes.SlowResidualMatching.timeOp_swirlRadius,C,SlowStressSupport.timeOp h b (swirlRadius C f) w = w.1 / C * T h (b - 1 / 2) f (radiusPoint w)
NavierStokes/SlowResidualMatching.lean,749,NavierStokes.SlowResidualMatching.axialOp_swirlRadius,C,SlowStressSupport.axialOp h b (swirlRadius C f) w = w.1 / C * Z h (b - 1 / 2) f (radiusPoint w)
NavierStokes/SlowResidualMatching.lean,782,NavierStokes.SlowResidualMatching.axialOp2_swirlRadius,C,SlowStressSupport.axialOp2 h b (swirlRadius C f) w = w.1 / C * Z2 h (b - 1 / 2) f (radiusPoint w)
NavierStokes/SlowResidualMatching.lean,801,NavierStokes.SlowResidualMatching.partialXX_swirlRadius,C,partialX (partialX (swirlRadius C f)) w = 3 * w.1 / C * partialX f (radiusPoint w) + w.1 ^ 3 / C * partialX (partialX f) (radiusPoint w)
NavierStokes/SquaredPartition.lean,343,NavierStokes.SquaredPartition.productMask_eq_rescale,δ,productMask δ k x = productMask 1 0 (δ⁻¹ • x - fun j => (k j : ℝ))
NavierStokes/TerminalPressure.lean,43,NavierStokes.TerminalPressure.heatJet_zero,v,heatJet h 0 ν v = RadialHeatProfile.profile (1 + h) (2 * ν / v)
NavierStokes/TerminalPressure.lean,129,NavierStokes.TerminalPressure.heatPressureJet_zero,v,heatPressureJet h 0 ν v = pressureWeight h v * RadialHeatProfile.profile (1 + h) (2 * ν / v) ^ 2
NavierStokes/TerminalStress.lean,893,NavierStokes.TerminalStress.tailShapeDeriv_factorization,δ,OutgoingTail.tailShapeDeriv d (3 - δ) = (FlatCutoff.edge 4 δ / δ ^ 3) * taperSlopeFactor d δ
NavierStokes/WaveStageContinuation.lean,1858,NavierStokes.WaveStageContinuation.ParticularPrimitives.carrier_integer,D,PhysicalParticularWave.referenceFrequency D j * ((D.carrierBlock.angularFrequency D.reference.band : ℝ) / D.carrierBlock.frequency D.reference.band) = ((j * D.c
NavierStokes/WeightedRadialPrimitive.lean,394,NavierStokes.WeightedRadialPrimitive.log_remaining,X,logLength a b - logPosition a X = Real.log (b / X)
NavierStokes/WeightedRadialPrimitive.lean,404,NavierStokes.WeightedRadialPrimitive.logWeight_formula,X,logWeight cL cR a b m X = Real.exp (-cL / (Real.log (X / a)) ^ 2 - cR / (Real.log (b / X)) ^ 2) / (min 1 (min (Real.log (X / a)) (Real.log (b / X)))) ^ m
Euler/EulerProof.lean,933,EulerInverseRegularity.differenceQuotient_commutator,h,commutator (differenceQuotient τ h) T = h⁻¹ • commutator τ T
Euler/EulerSpatialRescaling.lean,18,EulerSpatialRescaling.coordinates_apply,ell,"coordinates ell q=(q.1,ell⁻¹ • q.2)"
Euler/EulerTimeRescaling.lean,18,EulerTimeRescaling.coordinates_apply,ε,"coordinates ε q=(ε⁻¹*q.1,q.2)"
Euler/EulerTimeRescaling.lean,46,EulerTimeRescaling.momentumResidual_eq,ε,momentumResidual (velocity ε u) (pressure ε p) q = (ε⁻¹)^2 • momentumResidual u p (coordinates ε q)
Euler/MeanBoundaryDerivative.lean,23,EulerMeanBoundary.cutoffCurl_differenceError,h,cutoffCurl (χ.differenceError a h) = h⁻¹ • (cutoffCurl (χ.translate (h • a)) - cutoffCurl χ) - cutoffCurl (χ.directional a)
Euler/MeanBoundaryDerivative.lean,68,EulerMeanBoundary.weakPotential_differenceError,h,weakPotential (χ.differenceError a h) = h⁻¹ • (weakPotential (χ.translate (h • a)) - weakPotential χ) - weakPotential (χ.directional a)
Euler/MeanBoundaryDifference.lean,37,EulerMeanBoundary.spatialDifference_apply,h,spatialDifference a h z = h⁻¹ • (translation (h • a) z - z)
Euler/MeanBoundaryDifference.lean,43,EulerMeanBoundary.Cutoff.differenceQuotient_field,h,(χ.differenceQuotient a h).field x = h⁻¹ * (χ.field (x + h • a) - χ.field x)
Euler/MeanBoundaryDifference.lean,46,EulerMeanBoundary.spatialDifference_commutator,h,(spatialDifference a h).comp A - A.comp (spatialDifference a h) = h⁻¹ • translationCommutator (h • a) A
Euler/MeanCutoffDifferenceBound.lean,57,EulerMeanBoundary.differenceQuotient_fderiv,h,fderiv ℝ (χ.differenceQuotient a h).field x = h⁻¹ • (fderiv ℝ χ.field (x+h•a) - fderiv ℝ χ.field x)
Euler/MeanCutoffTaylor.lean,121,EulerMeanBoundary.Cutoff.differenceError_fderiv,h,fderiv ℝ (χ.differenceError a h).field x = h⁻¹ • (fderiv ℝ χ.field (x+h•a) - fderiv ℝ χ.field x) - fderiv ℝ (fderiv ℝ χ.field) x a
Euler/PacketForwardInitializedResidualEquation.lean,68,EulerPacketTerminalDatum.forwardInitializedNormalizedField_path_eq,k,(forwardInitializedNormalizedField M D hTime δ hδ ξ hs α N k).path = (coordinateField D (forwardInitializedVelocityField M D hTime δ hδ ξ hs α N k⁻¹) k).path
Euler/PacketForwardInitializedResidualEquation.lean,73,EulerPacketTerminalDatum.forwardInitializedNormalizedField_tower_eq,k,(forwardInitializedNormalizedField M D hTime δ hδ ξ hs α N k).toFieldTower = (coordinateField D (forwardInitializedVelocityField M D hTime δ hδ ξ hs α N k⁻¹) k)
Euler/PacketInitializedResidualEquation.lean,69,EulerPacketTerminalDatum.initializedNormalizedField_path_eq,k,(initializedNormalizedField M D hTime τ hτ hτT B δ hδ ξ hs α N k).path = (coordinateField D (initializedVelocityField M D hTime τ hτ hτT B δ hδ ξ hs α N k⁻¹) k)
Euler/PacketInitializedResidualEquation.lean,74,EulerPacketTerminalDatum.initializedNormalizedField_tower_eq,k,(initializedNormalizedField M D hTime τ hτ hτT B δ hδ ξ hs α N k).toFieldTower = (coordinateField D (initializedVelocityField M D hTime τ hτ hτT B δ hδ ξ hs α N
Euler/PacketPointJets.lean,103,EulerPacketPointJets.momentumResidual_formula,κ,momentumResidual κ FInv M m u p z = fderiv ℝ u z timeDirection + M (u z) + FInv.adjoint ((toDual ℝ Space).symm ((fderiv ℝ p z).comp spatialInjection)) + κ⁻¹ • (
Euler/ParentStageHorizon.lean,70,EulerParentStageHorizon.scaled_rate,h,a/sqrt (a/h)=sqrt (a*h)
Euler/ParentStageHorizon.lean,76,EulerParentStageHorizon.physical_rate,a,sqrt (a/h)/a=1/sqrt (a*h)
Euler/ParentStageHorizon.lean,76,EulerParentStageHorizon.physical_rate,h,sqrt (a/h)/a=1/sqrt (a*h)
Euler/ParentStageHorizon.lean,79,EulerParentStageHorizon.physical_target_identity,h,physicalTime τ a (sqrt (a/h)) (x/sqrt β)=τ+x/sqrt (β*a*h)
Euler/PhysicalL2Scaling.lean,54,EulerPhysicalL2Scaling.iteratedFDeriv_scale,ell,iteratedFDeriv ℝ n (scale ell f) x = (ell*(ell⁻¹)^n) • iteratedFDeriv ℝ n f (ell⁻¹ • x)
Euler/SmoothPhysicalGraphFlow.lean,62,EulerGraphInvariantFlow.physicalCoefficient_apply,ell,(physicalCoefficient k m T A ell).field t x = ell • (A.field t (graphLinear k m (ell⁻¹ • x))).1
NavierStokes/ActivationCone.lean,363,NavierStokes.ActivationCone.cone_error_bounds,A (via projectionError),|projectionError A B z dA dB dR| ≤ comparisonConstant M ∧ |crossError A B z dA dB dR| ≤ comparisonConstant M ∧ |sizeError κ A B z dR| ≤ comparisonConstant M
NavierStokes/ActivationCone.lean,363,NavierStokes.ActivationCone.cone_error_bounds,A (via crossError),|projectionError A B z dA dB dR| ≤ comparisonConstant M ∧ |crossError A B z dA dB dR| ≤ comparisonConstant M ∧ |sizeError κ A B z dR| ≤ comparisonConstant M
NavierStokes/ActivationCone.lean,363,NavierStokes.ActivationCone.cone_error_bounds,A (via sizeError),|projectionError A B z dA dB dR| ≤ comparisonConstant M ∧ |crossError A B z dA dB dR| ≤ comparisonConstant M ∧ |sizeError κ A B z dR| ≤ comparisonConstant M
NavierStokes/ActivationHolomorphic.lean,1126,NavierStokes.ActivationHolomorphic.natural_average_identity,Λ (via U),ProfileHistories.average U p = V p
NavierStokes/ActivationHolomorphic.lean,1138,NavierStokes.ActivationHolomorphic.natural_Ubar_real,Λ (via Ubar),"average (naturalU F) (p.1,(p.2 : ℂ)) = (F.family.Ubar p : ℂ)"
NavierStokes/ActivationHolomorphic.lean,1144,NavierStokes.ActivationHolomorphic.natural_Pi_real,Λ (via Pi),"pressure P (naturalF F) (p.1,(p.2 : ℂ)) = (F.family.Pi p : ℂ)"
NavierStokes/ActiveAnnulusWeight.lean,29,NavierStokes.ActiveAnnulusWeight.edge_le_one,x (via edge),FlatCutoff.edge c x ≤ 1
NavierStokes/ActiveAnnulusWeight.lean,70,NavierStokes.ActiveAnnulusWeight.edgeDistance_pos,a (via edgeDistance),0 < edgeDistance a b y
NavierStokes/ActiveAnnulusWeight.lean,73,NavierStokes.ActiveAnnulusWeight.edgeDistance_le_one,a (via edgeDistance),edgeDistance a b y ≤ 1
NavierStokes/ActiveAnnulusWeight.lean,74,NavierStokes.ActiveAnnulusWeight.edgeDistance_le_left,a (via edgeDistance),edgeDistance a b y ≤ y-a
NavierStokes/ActiveAnnulusWeight.lean,76,NavierStokes.ActiveAnnulusWeight.edgeDistance_le_right,a (via edgeDistance),edgeDistance a b y ≤ b-y
NavierStokes/ActiveAnnulusWeight.lean,178,NavierStokes.ActiveAnnulusWeight.distance_power_le_left,a (via edgeDistance),edgeDistance a b y ^ N ≤ (y-a)^n
NavierStokes/ActiveAnnulusWeight.lean,185,NavierStokes.ActiveAnnulusWeight.distance_power_le_right,a (via edgeDistance),edgeDistance a b y ^ N ≤ (b-y)^n
NavierStokes/ActiveAnnulusWeight.lean,192,NavierStokes.ActiveAnnulusWeight.left_bound_to_weight,a (via edgeDistance),C * FlatCutoff.edge c (y-a) / (y-a)^n ≤ (C / FlatCutoff.edge 4 (b-a-d)) * weight c a b y / edgeDistance a b y ^ N
NavierStokes/ActiveAnnulusWeight.lean,207,NavierStokes.ActiveAnnulusWeight.right_bound_to_weight,a (via edgeDistance),C * FlatCutoff.edge 4 (b-y) / (b-y)^n ≤ (C / FlatCutoff.edge c (b-a-d)) * weight c a b y / edgeDistance a b y ^ N
NavierStokes/ActiveAnnulusWeight.lean,222,NavierStokes.ActiveAnnulusWeight.interior_bound_to_weight,a (via edgeDistance),C ≤ (C / (FlatCutoff.edge c d * FlatCutoff.edge 4 d)) * weight c a b y / edgeDistance a b y ^ N
NavierStokes/ActiveAnnulusWeight.lean,468,NavierStokes.ActiveAnnulusWeight.exists_global_derivative_bound,a (via edgeDistance),"ℕ, ∀ i ≤ n, ∀ p ∈ K, ∀ y ∈ Ioo a b, ‖iteratedFDeriv ℝ i T (p,y)‖ ≤ C * weight c a b y / edgeDistance a b y ^ N"
NavierStokes/ActiveAnnulusWeight.lean,542,NavierStokes.ActiveAnnulusWeight.global_weighted_bounds,a (via edgeDistance),"ℕ, ∀ i ≤ n, ∀ p ∈ K, ∀ y ∈ Ioo a b, ‖iteratedFDeriv ℝ i T (p,y)‖ ≤ C * weight c a b y / edgeDistance a b y ^ N"
